,t,recall,n
0,12,1.0,500
1,24,0.5,234
2,36,0.5,266
3,48,0.3333333333333333,122
4,60,0.16666666666666666,112
5,72,0.3333333333333333,133
6,84,1.0,500
7,96,0.6666666666666666,250
8,108,0.3333333333333333,250
9,120,0.16666666666666666,126
10,132,0.16666666666666666,124
11,144,0.16666666666666666,63
12,156,0.0,63
13,168,0.0,62
14,180,1.0,500
15,192,0.16666666666666666,250
16,204,0.8333333333333334,250
17,216,0.16666666666666666,125
18,228,0.0,125
19,240,0.16666666666666666,62
20,252,0.0,63
21,264,0.0,63
22,276,0.0,31
23,288,1.0,500
24,300,0.16666666666666666,250
25,312,0.8333333333333334,250
26,324,0.16666666666666666,125
27,336,0.0,125
28,348,0.0,62
29,360,0.0,62
30,372,1.0,500
31,384,0.8333333333333334,250
32,396,0.16666666666666666,250
33,408,0.16666666666666666,125
34,420,0.0,125
35,432,0.0,63
36,444,0.0,62
37,456,0.0,62
38,468,1.0,500
39,480,0.16666666666666666,250
40,492,0.8333333333333334,250
41,504,0.16666666666666666,125
42,516,0.0,125
43,528,0.0,63
44,540,0.16666666666666666,63
45,552,0.0,62
46,564,0.0,32
47,576,0.0,62
48,588,1.0,500
